"ORG_PADR_ID","ORG_PADR_SIGLA","ORG_PADR_NOME","ORG_PADR_ID","ORG_PADR_SIGLA","ORG_PADR_NOME","ORGAO_UNIFICADO_ID_ORIGEM","ORGAO_UNIFICADO_SIGLA","ORGAO_UNIFICADO_NOME","ORGAO_UNIFICADO_FONTE","ORGAO_UNIFICADO_ID","ORGAO_UNIFICADO_SITUACAO","ORGAO_UNIFICADO_COD_SIORG_ORIGEM","ORGAO_PADRONIZADO_ID","ORG_PADR_ID_OU"
10,MEC,MINISTÉRIO DA EDUCAÇÃO,40,UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,26238,UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,SIAFI,323,ATIVO,423,142,40
10,MEC,MINISTÉRIO DA EDUCAÇÃO,16,UNIRIO,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,26269,UNIRIO,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,SIAFI,541,ATIVO,260,107,16
10,MEC,MINISTÉRIO DA EDUCAÇÃO,32,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,26239,UFPA,UNIVERSIDADE FEDERAL DO PARA,SIAFI,535,ATIVO,415,68,32
10,MEC,MINISTÉRIO DA EDUCAÇÃO,34,UFRN,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,26243,UFRN,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,SIAFI,562,ATIVO,417,10,34
10,MEC,MINISTÉRIO DA EDUCAÇÃO,12,CAPES,FUNDAÇÃO COORDENAÇÃO DE APERFEIÇOAMENTO DE PESSOAL DE NÍVEL SUPERIOR,26291,CAPES,FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR,SIAFI,510,ATIVO,250,5,12
10,MEC,MINISTÉRIO DA EDUCAÇÃO,13,FNDE,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,26298,FNDE,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,SIAFI,543,ATIVO,253,6,13
10,MEC,MINISTÉRIO DA EDUCAÇÃO,185,UFDPAR,UNIVERSIDADE FEDERAL DO DELTA DO PARNAÍBA,26455,UFDPAR,UNIVERSIDADE FEDERAL DO DELTA DO PARNAIBA,SIAFI,478,ATIVO,-8,,185
10,MEC,MINISTÉRIO DA EDUCAÇÃO,186,UFAPE,UNIVERSIDADE FEDERAL DO AGRESTE DE PERNAMBUCO,26456,UFAPE,UNIVERSIDADE FEDERAL DO AGRESTE DE PERNAMBUCO,SIAFI,479,ATIVO,244,,186
10,MEC,MINISTÉRIO DA EDUCAÇÃO,175,UFFS,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,26440,UFFS,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,SIAFI,416,ATIVO,103730,268,175
10,MEC,MINISTÉRIO DA EDUCAÇÃO,176,UNIVASF,FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,26230,UNIVASF,FUND.UNIVERSIDADE FEDERAL VALE SAO FRANCISCO,SIAFI,438,ATIVO,69624,131,176
10,MEC,MINISTÉRIO DA EDUCAÇÃO,179,UNILAB,UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA,26442,UNILAB,UNIV.DA INTEG.INTERN.DA LUSOF.AFRO-BRASILEIRA,SIAFI,381,ATIVO,109912,269,179
10,MEC,MINISTÉRIO DA EDUCAÇÃO,182,UFCAT,UNIVERSIDADE FEDERAL DE CATALÃO,26452,UFCAT,UNIVERSIDADE FEDERAL DE CATALAO,SIAFI,475,ATIVO,244,,182
10,MEC,MINISTÉRIO DA EDUCAÇÃO,183,UFJ,UNIVERSIDADE FEDERAL DE JATAÍ,26453,UFJ,UNIVERSIDADE FEDERAL DE JATAI,SIAFI,476,ATIVO,-8,,183
